char,word
恿,
患,ho`an6
悉,tat6
悠,
您,
惋,
悴,so`t2
惦,diem2
悽,the1
情,tin~3
悻,
悵,
惜,tiek2
悼,dieu6
惘,
惕,thits'2
惆,
惟,
悸,
惚,hot2
惑,ho`a^k6
惡,ak2
悲,bi1
悶,muon2
惠,hue6
愜,
愣,
惺,
愕,ngak6
惰,
惻,
惴,n~o`ai1
慨,xai2
惱,nao`5
愎,
惶,ho`ang3
愉,
愀,siu4
愚,ngu1
意,i2
慈,tu-3
感,kam4
想,tu-o^ng4
愛,
惹,
愁,se@u3
愈,ru4
慎,the@n6
慌,ho`ang4
慄,le@t6
慍,
愾,
愴,
愧,
慇,e@n1
愿,nguien6
態,thai2
慷,xang4
慢,man6
慣,kwe'n1
慟,do`ng4
慚,tuom3
慘,tham4
慶,xan~2
慧,
慮,lu-6
慝,
慕,mo6
憂,u-u1
慼,thits'2
慰,ui2
慫,tung2
慾,zuk6
憧,
憐,
憫,me@n5
憎,
憬,
憚,zan6
憤,fe@n5
憔,tieu3
憲,hien2
憑,ba^ng3
憩,
憊,
懍,
憶,u-k2
憾,ham2
懊,ao`4
懈,
應,u-ng2
懂,
懇,xe@n2
懦,n~ua6
懣,
懲,ts`u-ng3
懷,ho`ai3
懶,
懵,
懸,
懺,sam2
懼,
懾,
懿,
戀,luien2
戈,kwa1
戊,me@u6
戎,n~ung1
戌,tue@t2
戍,thu2
成,than~3
戒,zo^i2
我,nga5
或,ho`a^k6
戕,
戚,thits'2
戛,zat2
戟,kits'2
戡,
戢,
截,tiet6
戮,
戰,ts'ien2
戲,hi2
戴,
戳,
戶,
房,fo`ng3
戾,le6
所,so^5
扁,bien4
扇,fien2
扈,
扉,
手,thu4
才,tai3
扎,ts`at2
打,da4
扔,ne@i5
扒,ba^t2
扣,xe@u2
扛,za^ng1
托,thak2
抄,sao`1
抗,xang2
抖,
技,ki5
扶,fu3
抉,xo`e't2
扭,
把,ba5
扼,ats'2
找,kwo^1
批,fe1
扳,ba^n4
抒,ts`u-5
扯,ts'ai4
折,ts'iet2
扮,
投,de@u3
抓,ko`1
抑,u-k2
承,thu-a3
拉,le@p2
拌,ba^n2
拄,ts'u4
抿,
拂,fe@t2
抹,
拒,ku-6
招,ts'ieu1
披,fo^1
拓,
拔,bat6
拋,
拈,ts'em1
抨,ban~1
抽,ts`u-u3
押,ap2
拐,kwai4
拙,ts'ut2
拇,
拍,fets'2
抵,
拚,
抱,bao`5
拘,ke@u1
拖,da3
拗,huk2
拆,sats'2
抬,
拎,
拜,bai2
挖,
按,an2
拼,fan~1
拭,ri6
持,ts`i3
拮,ke@t2
拽,zia3
指,ts'i4
拱,ko`ng5
拷,xiu4
拯,ts'u-ng4
括,kwat2
拾,the@p6
拴,
挑,ve'o`6
拳,kwien3
挈,
拿,na5
捎,
挾,sap2
振,ts'e@n2
捕,bo`5
捂,
捆,
捏,
捉,ts`o`k2
挺,
捐,kwien1
挽,
挪,na2
挫,zo`a6
挨,
掠,lu-o^t2
控,xong2
捲,kuon2
掖,
探,tham2
接,tiep2
捷,tiep6
捧,bong4
掘,kwe@t6
措,tho2
捱,n~ai1
掩,e'm2
掉,ts`ao`1
掃,tao`4
掛,kwe@i4
捫,
推,sui1
掄,
授,thu6
掙,ts`an~2
採,thai2
掬,kuk2
排,bai3
掏,dao`3
掀,
捻,nam6
